Title,Link,AuthorProfiles,DearOfPublication,DateOfPublication
Headteacher performance management in England: Balancing internal and external accountability through performance leadership,https://pureportal.coventry.ac.uk/en/publications/headteacher-performance-management-in-england-balancing-internal-,"[{""name"": ""Crawford, M."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/megan-crawford""}]",,1 Mar 2019
"Is students' qualitative feedback changing, now it is online?",https://pureportal.coventry.ac.uk/en/publications/is-students-qualitative-feedback-changing-now-it-is-online,"[{""name"": ""Gakhal, S."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/sandeep-gakhal""}]",,3 Apr 2019
Promoting Active Learning in Universities: Thematic Peer Group Report,https://pureportal.coventry.ac.uk/en/publications/promoting-active-learning-in-universities-thematic-peer-group-rep,"[{""name"": ""Cappy, G."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/grace-cappy""}]",,25 Mar 2019
Representation of Faith Using Social Media,https://pureportal.coventry.ac.uk/en/publications/representation-of-faith-using-social-media,"[{""name"": ""Johnson, E."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/emmanuel-johnson""}]",,23 May 2019
Research as a Game of Empire,https://pureportal.coventry.ac.uk/en/publications/research-as-a-game-of-empire,"[{""name"": ""Morini, L."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/luca-morini""}]",,31 Oct 2019
Socially committed practice: issues of authenticity in arts related research,https://pureportal.coventry.ac.uk/en/publications/socially-committed-practice-issues-of-authenticity-in-arts-relate,"[{""name"": ""Wimpenny, K."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny""}]",,24 Oct 2019
STEM outreach activities: an approach to teachers' professional development,https://pureportal.coventry.ac.uk/en/publications/stem-outreach-activities-an-approach-to-teachers-professional-dev-3,"[{""name"": ""Aslam, F."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/farzana-aslam""}, {""name"": ""Bagiya, Y."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/yamuna-dass""}]",,29 May 2019
"The attrition factor: Student engagement and teacher commitment in online, intercultural Higher Education settings",https://pureportal.coventry.ac.uk/en/publications/the-attrition-factor-student-engagement-and-teacher-commitment-in,"[{""name"": ""Wimpenny, K."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny""}]",,10 Sept 2019
"The Bakla, The Agi: Our Genders Which Are Not One",https://pureportal.coventry.ac.uk/en/publications/the-bakla-the-agi-our-genders-which-are-not-one,"[{""name"": ""Jacobo, J."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/jaya-jacobo""}]",,Jul 2019
The JOVITAL Project: Capacity Building for Virtual Innovative Teaching and Learning in Jordan,https://pureportal.coventry.ac.uk/en/publications/the-jovital-project-capacity-building-for-virtual-innovative-teac,"[{""name"": ""Wimpenny, K."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny""}, {""name"": ""Dewinter, A."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/alun-dewinter""}]",,5 Dec 2019
The problem is here and now – assessing current student attainment gaps to inform change to institutional student experience provision,https://pureportal.coventry.ac.uk/en/publications/the-problem-is-here-and-now-assessing-current-student-attainment-,"[{""name"": ""Gakhal, S."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/sandeep-gakhal""}]",,13 Sept 2019
The role of assistive technology in renegotiating the inclusion of students with disabilities in Higher Education in North Africa,https://pureportal.coventry.ac.uk/en/publications/the-role-of-assistive-technology-in-renegotiating-the-inclusion-o,"[{""name"": ""Clouder, D."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/deanne-clouder""}, {""name"": ""Cawston, J."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/jacqueline-cawston-2""}, {""name"": ""Wimpenny, K."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny""}]",,Aug 2019
To Grow a Tree,https://pureportal.coventry.ac.uk/en/publications/to-grow-a-tree,"[{""name"": ""Johnson, E."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/emmanuel-johnson""}]",,1 Aug 2019
Understanding attainment disparity: A corpus-driven analysis of the language used in written feedback information to students of different backgrounds.,https://pureportal.coventry.ac.uk/en/publications/understanding-attainment-disparity-a-corpus-driven-analysis-of-th,"[{""name"": ""Alsop, S."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/sian-alsop""}, {""name"": ""Gardner, S."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/sheena-gardner""}]",,26 Jan 2019
Understanding Attainment Disparity: The Case for a Corpus-Driven Analysis of the Language used in Written Feedback Information to Students of Different Backgrounds,https://pureportal.coventry.ac.uk/en/publications/understanding-attainment-disparity-the-case-for-a-corpus-driven-a,"[{""name"": ""Alsop, S."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/sian-alsop""}, {""name"": ""Gardner, S."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/sheena-gardner""}]",,2019
Universities: increasingly stressful environments taking psychological toll – here’s what needs to change,https://pureportal.coventry.ac.uk/en/publications/universities-increasingly-stressful-environments-taking-psycholog,"[{""name"": ""Morini, L."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/luca-morini""}]",,26 Mar 2019
What can corpus analysis tell us about attainment disparity? A pilot analysis of written feedback information to students from two faculties.,https://pureportal.coventry.ac.uk/en/publications/what-can-corpus-analysis-tell-us-about-attainment-disparity-a-pil,"[{""name"": ""Alsop, S."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/sian-alsop""}, {""name"": ""Gardner, S."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/sheena-gardner""}]",,23 Jul 2019
“We now know how to learn” - Introducing student-centred teaching and learning in Jordan,https://pureportal.coventry.ac.uk/en/publications/we-now-know-how-to-learn-introducing-student-centred-teaching-and,"[{""name"": ""Holmes, S."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/sylwia-holmes""}]",,2019
Achieving Excellence By Helping More Students To Get On – Trialling New Tools To Demonstrate What Works,https://pureportal.coventry.ac.uk/en/publications/achieving-excellence-by-helping-more-students-to-get-on-trialling,"[{""name"": ""Gakhal, S."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/sandeep-gakhal""}]",,7 Dec 2018
Ady's interlude: On Lad Culture,https://pureportal.coventry.ac.uk/en/publications/adys-interlude-on-lad-culture,"[{""name"": ""Johnson, E."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/emmanuel-johnson""}, {""name"": ""Evans, A."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/ady-evans""}]",,2018
"An evaluation of Unlocking Nature, Greening the prison environment: Unlocking Nature",https://pureportal.coventry.ac.uk/en/publications/an-evaluation-of-unlocking-nature-greening-the-prison-environment,"[{""name"": ""Brown, G."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/geraldine-brown""}, {""name"": ""Fried, J."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/jana-fried""}]",,Dec 2018
A new approach to digital competence building for university educators in Europe,https://pureportal.coventry.ac.uk/en/publications/a-new-approach-to-digital-competence-building-for-university-educ,"[{""name"": ""Wimpenny, K."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny""}]",,28 Feb 2018
A New Approach to Digital Competence Building for University Educators in Europe,https://pureportal.coventry.ac.uk/en/publications/a-new-approach-to-digital-competence-building-for-university-educ-2,"[{""name"": ""Wimpenny, K."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny""}]",,2018
"An investigation into how to assess the quality of education through curriculum intent, implementation and impact",https://pureportal.coventry.ac.uk/en/publications/an-investigation-into-how-to-assess-the-quality-of-education-thro,"[{""name"": ""Holmes, S."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/sylwia-holmes""}]",,2018
Case study: Game design thinking as a strategy for community engagement in a rural indigenous village,https://pureportal.coventry.ac.uk/en/publications/case-study-game-design-thinking-as-a-strategy-for-community-engag,"[{""name"": ""Arnab, S."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/sylvester-arnab""}, {""name"": ""Morini, L."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/luca-morini""}, {""name"": ""Clarke, S."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/samantha-clarke""}]",,1 Jan 2018
Co-creativity assessment in the process of game creation,https://pureportal.coventry.ac.uk/en/publications/co-creativity-assessment-in-the-process-of-game-creation,"[{""name"": ""Arnab, S."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/sylvester-arnab""}, {""name"": ""Morini, L."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/luca-morini""}]",,1 Jan 2018
"Collaborative Poetics Network: A Pilot Study Exploring the Potential of Collaborative, Arts-based Research",https://pureportal.coventry.ac.uk/en/publications/collaborative-poetics-network-a-pilot-study-exploring-the-potenti,"[{""name"": ""Wimpenny, K."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny""}]",,9 Feb 2018
"Engaging primary schools in rural Malaysia with Game-Based Learning: Culture, Pedagogy, Technology",https://pureportal.coventry.ac.uk/en/publications/engaging-primary-schools-in-rural-malaysia-with-game-based-learni,"[{""name"": ""Morini, L."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/luca-morini""}, {""name"": ""Arnab, S."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/sylvester-arnab""}]",,2018
Exploring multicultural e-learning through a blended course across the Mediterranean,https://pureportal.coventry.ac.uk/en/publications/exploring-multicultural-e-learning-through-a-blended-course-acros,"[{""name"": ""Wimpenny, K."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny""}]",,23 Feb 2018
Facilitators' Perspectives as Mediators of the Local Learning Circles of the OpenMed Open Course,https://pureportal.coventry.ac.uk/en/publications/facilitators-perspectives-as-mediators-of-the-local-learning-circ,"[{""name"": ""Wimpenny, K."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny""}]",,10 Jan 2018
Hong Kong New Wave Reflection,https://pureportal.coventry.ac.uk/en/publications/hong-kong-new-wave-reflection,"[{""name"": ""Johnson, E."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/emmanuel-johnson""}, {""name"": ""Alkali, M."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/mabel-alkali""}]",,2018
Identity (Hong Kong New Wave Short Film),https://pureportal.coventry.ac.uk/en/publications/identity-hong-kong-new-wave-short-film,"[{""name"": ""Johnson, E."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/emmanuel-johnson""}]",,2018
Identity (Hong Kong New Wave Short Film): Director's Commentary,https://pureportal.coventry.ac.uk/en/publications/identity-hong-kong-new-wave-short-film-directors-commentary,"[{""name"": ""Johnson, E."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/emmanuel-johnson""}]",,2018
"Jordan Opportunity for Virtual Innovative Teaching and Learning: A Needs Analysis Report Contextualising the State of the Art in International Online Teaching and Learning, with Particular Attention to the Jordanian Case",https://pureportal.coventry.ac.uk/en/publications/jordan-opportunity-for-virtual-innovative-teaching-and-learning-a,"[{""name"": ""Wimpenny, K."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny""}, {""name"": ""DeWinter, A."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/alun-dewinter""}]",,13 Dec 2018
Lessons learnt from the collaborative creation and piloting of a course in Open Education for the South Mediterranean region,https://pureportal.coventry.ac.uk/en/publications/lessons-learnt-from-the-collaborative-creation-and-piloting-of-a-,"[{""name"": ""Wimpenny, K."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny""}]",,22 Feb 2018
Methodological issues in researching maladministration,https://pureportal.coventry.ac.uk/en/publications/methodological-issues-in-researching-maladministration,"[{""name"": ""Crawford, M."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/megan-crawford""}]",,1 Apr 2018
Monitoring and evaluation of the TEPD – 2018 annual report,https://pureportal.coventry.ac.uk/en/publications/monitoring-and-evaluation-of-the-tepd-2018-annual-report,"[{""name"": ""Holmes, S."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/sylwia-holmes""}]",,2018
"Obesity, healthy eating and physical activity in primary schools",https://pureportal.coventry.ac.uk/en/publications/obesity-healthy-eating-and-physical-activity-in-primary-schools,"[{""name"": ""Holmes, S."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/sylwia-holmes""}]",,2018
OpenMed – Educación abierta en el sur del Mediterráneo: OpenMed - Open Education in the South-Mediterranean,https://pureportal.coventry.ac.uk/en/publications/openmed-educaci%C3%B3n-abierta-en-el-sur-del-mediterr%C3%A1neo-openmed-open,"[{""name"": ""Wimpenny, K."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny""}, {""name"": ""Merry, S. K."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/sarah-kate-merry""}]",,30 Sept 2018
STEM outreach activities: an approach to teachers’ professional development: STEM outreach activities,https://pureportal.coventry.ac.uk/en/publications/stem-outreach-activities-an-approach-to-teachers-professional-dev,"[{""name"": ""Aslam, F."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/farzana-aslam""}, {""name"": ""Bagiya, Y."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/yamuna-dass""}]",,10 Jan 2018
Summary matters: How lecturers review and preview information in engineering lectures,https://pureportal.coventry.ac.uk/en/publications/summary-matters-how-lecturers-review-and-preview-information-in-e,"[{""name"": ""Alsop, S."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/sian-alsop""}]",,5 Jul 2018
"Terminologies of ""Modern"" and ""Contemporary"" Art in Southeast Asia's Vernacular Languages: Indonesian, Javanese, Khmer, Lao, Malay, Myanmar/Burmese, Tagalog/Filipino, Thai and Vietnamese",https://pureportal.coventry.ac.uk/en/publications/terminologies-of-modern-and-contemporary-art-in-southeast-asias-v,"[{""name"": ""Jacobo, J."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/jaya-jacobo""}]",,1 Oct 2018
The Benefits and Challenges of Embedding Intercultural Competencies into the Postgraduate Research Provision,https://pureportal.coventry.ac.uk/en/publications/the-benefits-and-challenges-of-embedding-intercultural-competenci,"[{""name"": ""DeWinter, A."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/alun-dewinter""}]",,2018
What is Teaching Excellence?,https://pureportal.coventry.ac.uk/en/publications/what-is-teaching-excellence,"[{""name"": ""Gakhal, S."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/sandeep-gakhal""}]",,20 Feb 2018
An investigation to understand and evaluate the best ways to educate for and promote integrated working across the health and care sectors.,https://pureportal.coventry.ac.uk/en/publications/an-investigation-to-understand-and-evaluate-the-best-ways-to-educ,"[{""name"": ""Clouder, D."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/deanne-clouder""}, {""name"": ""Bluteau, P."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/patricia-bluteau""}]",,14 Jun 2017
"Empowerment of physiotherapy students on placement: The interplay between autonomy, risk, and responsibility: The interplay between autonomy, risk, and responsibility",https://pureportal.coventry.ac.uk/en/publications/empowerment-of-physiotherapy-students-on-placement-the-interplay-,"[{""name"": ""Clouder, D."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/deanne-clouder""}]",,21 Sept 2017
Evaluating student satisfaction at a top-performing UK university,https://pureportal.coventry.ac.uk/en/publications/evaluating-student-satisfaction-at-a-top-performing-uk-university,"[{""name"": ""Gakhal, S."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/sandeep-gakhal""}]",,15 Nov 2017
Exploring the relationship between remote e-working and work-related well-being.,https://pureportal.coventry.ac.uk/en/publications/exploring-the-relationship-between-remote-e-working-and-work-rela,"[{""name"": ""Grant, C."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/christine-grant""}, {""name"": ""Tramontano, C."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/carlo-tramontano""}]",,Jan 2017
How to evaluate quality of teacher training? - Literature review and impact indicators framework for the pre-service teacher training programme in Jordan,https://pureportal.coventry.ac.uk/en/publications/how-to-evaluate-quality-of-teacher-training-literature-review-and,"[{""name"": ""Holmes, S."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/sylwia-holmes""}]",,2017
Monitoring and evaluation of the pre-service teacher education programme – report,https://pureportal.coventry.ac.uk/en/publications/monitoring-and-evaluation-of-the-pre-service-teacher-education-pr,"[{""name"": ""Holmes, S."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/sylwia-holmes""}]",,2017
Preparation for an uncertain world: international curriculum development for mental health occupational therapy,https://pureportal.coventry.ac.uk/en/publications/preparation-for-an-uncertain-world-international-curriculum-devel-6,"[{""name"": ""Wimpenny, K."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny""}, {""name"": ""Roe, S."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/sarah-roe""}]",,6 Sept 2017
The impact of participation in music on learning mathematics,https://pureportal.coventry.ac.uk/en/publications/the-impact-of-participation-in-music-on-learning-mathematics,"[{""name"": ""Holmes, S."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/sylwia-holmes""}]",,2017
The impact of participation in music on learning mathematics.,https://pureportal.coventry.ac.uk/en/publications/the-impact-of-participation-in-music-on-learning-mathematics-2,"[{""name"": ""Holmes, S."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/sylwia-holmes""}]",,30 Nov 2017
"What Students Should Know, But Don't Know, They Don't Know, About Proving Their Trustworthiness To Clinical Educators",https://pureportal.coventry.ac.uk/en/publications/what-students-should-know-but-dont-know-they-dont-know-about-prov,"[{""name"": ""Clouder, D."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/deanne-clouder""}]",,2 Jun 2017
A Less Lonely Place of Researching,https://pureportal.coventry.ac.uk/en/publications/a-less-lonely-place-of-researching,"[{""name"": ""Morini, L."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/luca-morini""}]",,2016
Alienation and Affect in Milan,https://pureportal.coventry.ac.uk/en/publications/alienation-and-affect-in-milan,"[{""name"": ""Johnson, E."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/emmanuel-johnson""}]",,2016
Linking attainment to interculturalism and global citizenship,https://pureportal.coventry.ac.uk/en/publications/linking-attainment-to-interculturalism-and-global-citizenship,"[{""name"": ""Evans, A."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/alun-dewinter""}]",,2016
Play as Bulwark of Uselessness,https://pureportal.coventry.ac.uk/en/publications/play-as-bulwark-of-uselessness,"[{""name"": ""Morini, L."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/luca-morini""}]",,4 May 2016
Protocol for Developing Spiritual Competencies in Dietetic Practice,https://pureportal.coventry.ac.uk/en/publications/protocol-for-developing-spiritual-competencies-in-dietetic-practi,"[{""name"": ""Lycett, D."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/deborah-lycett""}, {""name"": ""Clouder, D."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/deanne-clouder""}]",,2016
The many times I saved the world (or died trying),https://pureportal.coventry.ac.uk/en/publications/the-many-times-i-saved-the-world-or-died-trying,"[{""name"": ""Morini, L."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/luca-morini""}]",,2016
“I’ve always not been a racist”: do we need to reconsider teaching and learning about the Holocaust?,https://pureportal.coventry.ac.uk/en/publications/ive-always-not-been-a-racist-do-we-need-to-reconsider-teaching-an,"[{""name"": ""Holmes, S."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/sylwia-holmes""}]",,Sept 2016
Developing as an Educational Leader and Manager,https://pureportal.coventry.ac.uk/en/publications/developing-as-an-educational-leader-and-manager,"[{""name"": ""Crawford, M."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/megan-crawford""}]",,2014
Evaluation of the SkillForce 'Back on Track' programme,https://pureportal.coventry.ac.uk/en/publications/evaluation-of-the-skillforce-back-on-track-programme,"[{""name"": ""Holmes, S."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/sylwia-holmes""}]",,2014
Evaluation of the SkillForce 'Ethos' programme,https://pureportal.coventry.ac.uk/en/publications/evaluation-of-the-skillforce-ethos-programme,"[{""name"": ""Holmes, S."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/sylwia-holmes""}]",,2014
Review of interprofessional education in the UK 1997–2003: Implanting Interprofessional Education in Qualifying Courses:  Eight Reflective Accounts – Coventry University & Warwick Medical School,https://pureportal.coventry.ac.uk/en/publications/review-of-interprofessional-education-in-the-uk-19972003-implanti,"[{""name"": ""Bluteau, P."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/patricia-bluteau""}, {""name"": ""Clouder, D."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/deanne-clouder""}]",,2014
The restructuring of schooling in England: The responses of well-positioned headteachers,https://pureportal.coventry.ac.uk/en/publications/the-restructuring-of-schooling-in-england-the-responses-of-well-p,"[{""name"": ""Crawford, M."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/megan-crawford""}]",,13 May 2014
Enhancing Guidance for Disabled People Wanting to Become Health and Social Care Professionals Report,https://pureportal.coventry.ac.uk/en/publications/enhancing-guidance-for-disabled-people-wanting-to-become-health-a-3,"[{""name"": ""Clouder, D."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/deanne-clouder""}]",,13 Dec 2013
Enhancing school leadership: Evaluating the use of virtual learning communities,https://pureportal.coventry.ac.uk/en/publications/enhancing-school-leadership-evaluating-the-use-of-virtual-learnin,"[{""name"": ""Crawford, M."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/megan-crawford""}]",,1 Jan 2013
"Il Dito ed il Link: Pensiero ed Esperienza Quotidiana dei ""Nativi Digitali""",https://pureportal.coventry.ac.uk/en/publications/il-dito-ed-il-link-pensiero-ed-esperienza-quotidiana-dei-nativi-d,"[{""name"": ""Morini, L."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/luca-morini""}]",,2013
Measuring intellectual capital in primary schools and examining in terms of some variables,https://pureportal.coventry.ac.uk/en/publications/measuring-intellectual-capital-in-primary-schools-and-examining-i,"[{""name"": ""Karaku\u015f, M."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/mehmet-karakus""}]",,1 Jan 2013
Turkish adaptation of the scale of “student perceptions of teachers’ knowledge (SPOTK)” and examining in the aspect of some variables,https://pureportal.coventry.ac.uk/en/publications/turkish-adaptation-of-the-scale-of-student-perceptions-of-teacher,"[{""name"": ""Karakus, M."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/mehmet-karakus""}]",,15 Apr 2013
"Building confidence, competence and collaboration using technology enhanced learning resources",https://pureportal.coventry.ac.uk/en/publications/building-confidence-competence-and-collaboration-using-technology,"[{""name"": ""Clouder, L."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/deanne-clouder""}]",,20 Aug 2012
"""Mappe per..."" - Transizioni verso un'ecologia sociale",https://pureportal.coventry.ac.uk/en/publications/mappe-per-transizioni-verso-unecologia-sociale-2,"[{""name"": ""Morini, L."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/luca-morini""}]",,15 Sept 2012
"""Mappe per..."" - Transizioni verso un'ecologia sociale",https://pureportal.coventry.ac.uk/en/publications/mappe-per-transizioni-verso-unecologia-sociale,"[{""name"": ""Morini, L."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/luca-morini""}]",,10 Dec 2012
Mapping the Field over 40 Years: A Historical Review,https://pureportal.coventry.ac.uk/en/publications/mapping-the-field-over-40-years-a-historical-review,"[{""name"": ""Crawford, M."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/megan-crawford""}]",,5 Sept 2012
Introduction,https://pureportal.coventry.ac.uk/en/publications/introduction-27,"[{""name"": ""Angelov, D."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/dimitar-angelov""}]",,2010
Introduction,https://pureportal.coventry.ac.uk/en/publications/introduction-28,"[{""name"": ""Angelov, D."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/dimitar-angelov""}]",,2010
Participatory action research: An integrated approach towards practice development,https://pureportal.coventry.ac.uk/en/publications/participatory-action-research-an-integrated-approach-towards-prac,"[{""name"": ""Wimpenny, K."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny""}]",,7 Apr 2010
A Heterogeneous Identity: The Case of the Etruscans,https://pureportal.coventry.ac.uk/en/publications/a-heterogeneous-identity-the-case-of-the-etruscans,"[{""name"": ""Angelov, D."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/dimitar-angelov""}]",,2008
Eǧitim örgütlerinde entelektüel sermayenin yönetimi,https://pureportal.coventry.ac.uk/en/publications/e%C7%A7itim-%C3%B6rg%C3%BCtlerinde-entelekt%C3%BCel-sermayenin-y%C3%B6netimi,"[{""name"": ""Karakus, M."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/mehmet-karakus""}]",,2008
Practising cultural sensitivity in virtual spaces,https://pureportal.coventry.ac.uk/en/publications/practising-cultural-sensitivity-in-virtual-spaces,"[{""name"": ""Wimpenny, K."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny""}]",,30 Sept 2006
The charismatic school leader:  Potent myth or persuasive effect?,https://pureportal.coventry.ac.uk/en/publications/the-charismatic-school-leader-potent-myth-or-persuasive-effect,"[{""name"": ""Crawford, M."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/megan-crawford""}]",,1 Dec 2002
Strategic and resource management in primary schools: Evidence from OfSTED inspection reports,https://pureportal.coventry.ac.uk/en/publications/strategic-and-resource-management-in-primary-schools-evidence-fro,"[{""name"": ""Crawford, M."", ""link"": ""https://pureportal.coventry.ac.uk/en/persons/megan-crawford""}]",,1 Dec 1997
